[2026-08-27T02:38:47.945+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-26T00:00:00+00:00 [queued]>
[2026-08-27T02:38:47.965+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-26T00:00:00+00:00 [queued]>
[2026-08-27T02:38:47.967+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-08-27T02:38:47.991+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): kafka_producer> on 2026-08-26 00:00:00+00:00
[2026-08-27T02:38:48.000+0000] {standard_task_runner.py:60} INFO - Started process 3887 to run task
[2026-08-27T02:38:48.009+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'retailpulse_medallion_pipeline', 'kafka_producer', 'scheduled__2026-08-26T00:00:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/retailpulse_dag.py', '--cfg-path', '/tmp/tmpjpwrvdzl']
[2026-08-27T02:38:48.013+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask kafka_producer
[2026-08-27T02:38:48.132+0000] {task_command.py:423} INFO - Running <TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-26T00:00:00+00:00 [running]> on host 1decbd92f565
[2026-08-27T02:38:48.262+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='retailpulse' AIRFLOW_CTX_DAG_ID='retailpulse_medallion_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-08-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-26T00:00:00+00:00'
[2026-08-27T02:40:02.624+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:02,623 | INFO | kafka_producer | Sent 300000 events
[2026-08-27T02:40:03.652+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:03,651 | INFO | kafka_producer | Sent 305000 events
[2026-08-27T02:40:04.624+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:04,624 | INFO | kafka_producer | Sent 310000 events
[2026-08-27T02:40:05.502+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:05,502 | INFO | kafka_producer | Sent 315000 events
[2026-08-27T02:40:06.377+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:06,377 | INFO | kafka_producer | Sent 320000 events
[2026-08-27T02:40:07.175+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:07,175 | INFO | kafka_producer | Sent 325000 events
[2026-08-27T02:40:08.015+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:08,015 | INFO | kafka_producer | Sent 330000 events
[2026-08-27T02:40:08.876+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:08,876 | INFO | kafka_producer | Sent 335000 events
[2026-08-27T02:40:09.658+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:09,657 | INFO | kafka_producer | Sent 340000 events
[2026-08-27T02:40:10.557+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:10,557 | INFO | kafka_producer | Sent 345000 events
[2026-08-27T02:40:11.412+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:11,411 | INFO | kafka_producer | Sent 350000 events
[2026-08-27T02:40:12.275+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:12,275 | INFO | kafka_producer | Sent 355000 events
[2026-08-27T02:40:13.155+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:13,155 | INFO | kafka_producer | Sent 360000 events
[2026-08-27T02:40:14.102+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:14,102 | INFO | kafka_producer | Sent 365000 events
[2026-08-27T02:40:14.825+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:14,825 | INFO | kafka_producer | Sent 370000 events
[2026-08-27T02:40:15.657+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:15,657 | INFO | kafka_producer | Sent 375000 events
[2026-08-27T02:40:16.480+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:16,479 | INFO | kafka_producer | Sent 380000 events
[2026-08-27T02:40:17.287+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:17,287 | INFO | kafka_producer | Sent 385000 events
[2026-08-27T02:40:18.015+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:18,015 | INFO | kafka_producer | Sent 390000 events
[2026-08-27T02:40:18.834+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:18,833 | INFO | kafka_producer | Sent 395000 events
[2026-08-27T02:40:19.590+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:19,590 | INFO | kafka_producer | Sent 400000 events
[2026-08-27T02:40:20.364+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:20,363 | INFO | kafka_producer | Sent 405000 events
[2026-08-27T02:40:21.176+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:21,176 | INFO | kafka_producer | Sent 410000 events
[2026-08-27T02:40:21.952+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:21,951 | INFO | kafka_producer | Sent 415000 events
[2026-08-27T02:40:22.792+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:22,792 | INFO | kafka_producer | Sent 420000 events
[2026-08-27T02:40:23.679+0000] {logging_mixin.py:188} INFO - 2026-08-27 02:40:23,678 | INFO | kafka_producer | Sent 425000 events
