[2026-08-26T12:24:06.071+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [queued]>
[2026-08-26T12:24:06.091+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [queued]>
[2026-08-26T12:24:06.092+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-08-26T12:24:06.170+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): kafka_producer> on 2026-08-25 00:00:00+00:00
[2026-08-26T12:24:06.186+0000] {standard_task_runner.py:60} INFO - Started process 574 to run task
[2026-08-26T12:24:06.194+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'retailpulse_medallion_pipeline', 'kafka_producer', 'scheduled__2026-08-25T00:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/retailpulse_dag.py', '--cfg-path', '/tmp/tmpyt5p8jew']
[2026-08-26T12:24:06.201+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask kafka_producer
[2026-08-26T12:24:06.414+0000] {task_command.py:423} INFO - Running <TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [running]> on host 1decbd92f565
[2026-08-26T12:24:06.575+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='retailpulse' AIRFLOW_CTX_DAG_ID='retailpulse_medallion_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-08-25T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-25T00:00:00+00:00'
[2026-08-26T12:25:01.654+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:01,654 | INFO | kafka_producer | Sent 315000 events
[2026-08-26T12:25:02.420+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:02,417 | INFO | kafka_producer | Sent 320000 events
[2026-08-26T12:25:03.206+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:03,206 | INFO | kafka_producer | Sent 325000 events
[2026-08-26T12:25:04.116+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:04,115 | INFO | kafka_producer | Sent 330000 events
[2026-08-26T12:25:04.886+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:04,886 | INFO | kafka_producer | Sent 335000 events
[2026-08-26T12:25:05.580+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:05,579 | INFO | kafka_producer | Sent 340000 events
[2026-08-26T12:25:06.405+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:06,404 | INFO | kafka_producer | Sent 345000 events
[2026-08-26T12:25:07.060+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:07,060 | INFO | kafka_producer | Sent 350000 events
[2026-08-26T12:25:07.692+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:07,692 | INFO | kafka_producer | Sent 355000 events
[2026-08-26T12:25:08.477+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:08,477 | INFO | kafka_producer | Sent 360000 events
[2026-08-26T12:25:09.173+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:09,173 | INFO | kafka_producer | Sent 365000 events
[2026-08-26T12:25:09.895+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:09,895 | INFO | kafka_producer | Sent 370000 events
[2026-08-26T12:25:10.646+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:10,646 | INFO | kafka_producer | Sent 375000 events
[2026-08-26T12:25:11.389+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:11,389 | INFO | kafka_producer | Sent 380000 events
[2026-08-26T12:25:12.124+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:12,124 | INFO | kafka_producer | Sent 385000 events
[2026-08-26T12:25:12.857+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:12,856 | INFO | kafka_producer | Sent 390000 events
[2026-08-26T12:25:13.744+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:13,744 | INFO | kafka_producer | Sent 395000 events
[2026-08-26T12:25:14.546+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:14,546 | INFO | kafka_producer | Sent 400000 events
[2026-08-26T12:25:15.304+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:15,304 | INFO | kafka_producer | Sent 405000 events
[2026-08-26T12:25:16.088+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:16,088 | INFO | kafka_producer | Sent 410000 events
[2026-08-26T12:25:16.785+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:16,785 | INFO | kafka_producer | Sent 415000 events
[2026-08-26T12:25:17.647+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:17,647 | INFO | kafka_producer | Sent 420000 events
[2026-08-26T12:25:18.439+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:18,438 | INFO | kafka_producer | Sent 425000 events
[2026-08-26T12:25:19.151+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:25:19,151 | INFO | kafka_producer | Sent 430000 events
